"cantidad(-1)","cantidad(-2)","cantidad(-3)","cantidad(-4)","cantidad(-5)","cantidad(-6)","cantidad(-7)","cantidad(-8)","cantidad(-9)","cantidad(-10)","cantidad(-11)","temperatura_media_media(-1)","temperatura_media_media(-2)","temperatura_media_media(-3)","temperatura_media_media(-4)","temperatura_media_media(-5)","temperatura_media_media(-6)","temperatura_media_media(-7)","temperatura_media_media(-8)","temperatura_media_media(-9)","temperatura_media_media(-10)","temperatura_media_media(-11)","indice(-1)","indice(-2)","indice(-3)","indice(-4)","indice(-5)","indice(-6)","indice(-7)","indice(-8)","indice(-9)","indice(-10)","indice(-11)","humedad_min_media_porc(-1)","humedad_min_media_porc(-2)","humedad_min_media_porc(-3)","humedad_min_media_porc(-4)","humedad_min_media_porc(-5)","humedad_min_media_porc(-6)","humedad_min_media_porc(-7)","humedad_min_media_porc(-8)","humedad_min_media_porc(-9)","humedad_min_media_porc(-10)","humedad_min_media_porc(-11)","humedad_max_media_porc(-1)","humedad_max_media_porc(-2)","humedad_max_media_porc(-3)","humedad_max_media_porc(-4)","humedad_max_media_porc(-5)","humedad_max_media_porc(-6)","humedad_max_media_porc(-7)","humedad_max_media_porc(-8)","humedad_max_media_porc(-9)","humedad_max_media_porc(-10)","humedad_max_media_porc(-11)","lluvia_mm(-1)","lluvia_mm(-2)","lluvia_mm(-3)","lluvia_mm(-4)","lluvia_mm(-5)","lluvia_mm(-6)","lluvia_mm(-7)","lluvia_mm(-8)","lluvia_mm(-9)","lluvia_mm(-10)","lluvia_mm(-11)","humedad_media_media_porc(-1)","humedad_media_media_porc(-2)","humedad_media_media_porc(-3)","humedad_media_media_porc(-4)","humedad_media_media_porc(-5)","humedad_media_media_porc(-6)","humedad_media_media_porc(-7)","humedad_media_media_porc(-8)","humedad_media_media_porc(-9)","humedad_media_media_porc(-10)","humedad_media_media_porc(-11)","temperatura_max_media(-1)","temperatura_max_media(-2)","temperatura_max_media(-3)","temperatura_max_media(-4)","temperatura_max_media(-5)","temperatura_max_media(-6)","temperatura_max_media(-7)","temperatura_max_media(-8)","temperatura_max_media(-9)","temperatura_max_media(-10)","temperatura_max_media(-11)","nivel(-1)","nivel(-2)","nivel(-3)","nivel(-4)","nivel(-5)","nivel(-6)","nivel(-7)","nivel(-8)","nivel(-9)","nivel(-10)","nivel(-11)","cantidad","temperatura_min_media(-1)","temperatura_min_media(-2)","temperatura_min_media(-3)","temperatura_min_media(-4)","temperatura_min_media(-5)","temperatura_min_media(-6)","temperatura_min_media(-7)","temperatura_min_media(-8)","temperatura_min_media(-9)","temperatura_min_media(-10)","temperatura_min_media(-11)"
54,73,84,58,76,79,60,30,27,29,47,19.0,23.0,21.0,21.857,23.25,23.857,25.714,24.286,28.143,28.143,26.286,0.088,0.012,0.012,0.006,0.008,0.009,0.01,0.012,0.013,0.014,0.016,78.857,45.143,54.714,38.714,30.8,39.0,19.857,32.429,33.286,34.143,31.857,97.571,91.571,94.0,94.286,82.4,89.286,80.857,93.143,87.429,92.429,89.571,46.0,17.1,51.7,30.0,0.0,0.0,0.0,0.0,3.8,1.1,0.0,88.286,68.286,78.429,68.571,57.0,64.286,51.286,64.286,61.286,67.429,62.286,21.571,27.714,26.143,28.143,29.0,29.286,34.429,31.0,35.571,34.857,33.286,2.21,1.32,1.3,1.02,1.04,1.08,1.18,1.28,1.25,1.24,1.31,23,16.429,18.286,15.714,15.429,16.2,17.714,16.714,17.429,21.143,21.286,19.429
23,54,73,84,58,76,79,60,30,27,29,13.571,19.0,23.0,21.0,21.857,23.25,23.857,25.714,24.286,28.143,28.143,0.163,0.088,0.012,0.012,0.006,0.008,0.009,0.01,0.012,0.013,0.014,37.571,78.857,45.143,54.714,38.714,30.8,39.0,19.857,32.429,33.286,34.143,93.857,97.571,91.571,94.0,94.286,82.4,89.286,80.857,93.143,87.429,92.429,0.0,46.0,17.1,51.7,30.0,0.0,0.0,0.0,0.0,3.8,1.1,70.714,88.286,68.286,78.429,68.571,57.0,64.286,51.286,64.286,61.286,67.429,20.0,21.571,27.714,26.143,28.143,29.0,29.286,34.429,31.0,35.571,34.857,2.27,2.21,1.32,1.3,1.02,1.04,1.08,1.18,1.28,1.25,1.24,4,8.0,16.429,18.286,15.714,15.429,16.2,17.714,16.714,17.429,21.143,21.286
4,23,54,73,84,58,76,79,60,30,27,14.571,13.571,19.0,23.0,21.0,21.857,23.25,23.857,25.714,24.286,28.143,0.239,0.163,0.088,0.012,0.012,0.006,0.008,0.009,0.01,0.012,0.013,47.0,37.571,78.857,45.143,54.714,38.714,30.8,39.0,19.857,32.429,33.286,95.714,93.857,97.571,91.571,94.0,94.286,82.4,89.286,80.857,93.143,87.429,0.0,0.0,46.0,17.1,51.7,30.0,0.0,0.0,0.0,0.0,3.8,75.143,70.714,88.286,68.286,78.429,68.571,57.0,64.286,51.286,64.286,61.286,20.714,20.0,21.571,27.714,26.143,28.143,29.0,29.286,34.429,31.0,35.571,2.38,2.27,2.21,1.32,1.3,1.02,1.04,1.08,1.18,1.28,1.25,7,8.143,8.0,16.429,18.286,15.714,15.429,16.2,17.714,16.714,17.429,21.143
7,4,23,54,73,84,58,76,79,60,30,18.143,14.571,13.571,19.0,23.0,21.0,21.857,23.25,23.857,25.714,24.286,0.314,0.239,0.163,0.088,0.012,0.012,0.006,0.008,0.009,0.01,0.012,48.286,47.0,37.571,78.857,45.143,54.714,38.714,30.8,39.0,19.857,32.429,91.143,95.714,93.857,97.571,91.571,94.0,94.286,82.4,89.286,80.857,93.143,0.0,0.0,0.0,46.0,17.1,51.7,30.0,0.0,0.0,0.0,0.0,70.143,75.143,70.714,88.286,68.286,78.429,68.571,57.0,64.286,51.286,64.286,23.857,20.714,20.0,21.571,27.714,26.143,28.143,29.0,29.286,34.429,31.0,2.36,2.38,2.27,2.21,1.32,1.3,1.02,1.04,1.08,1.18,1.28,0,12.143,8.143,8.0,16.429,18.286,15.714,15.429,16.2,17.714,16.714,17.429
0,7,4,23,54,73,84,58,76,79,60,16.0,18.143,14.571,13.571,19.0,23.0,21.0,21.857,23.25,23.857,25.714,0.389,0.314,0.239,0.163,0.088,0.012,0.012,0.006,0.008,0.009,0.01,64.429,48.286,47.0,37.571,78.857,45.143,54.714,38.714,30.8,39.0,19.857,95.429,91.143,95.714,93.857,97.571,91.571,94.0,94.286,82.4,89.286,80.857,26.3,0.0,0.0,0.0,46.0,17.1,51.7,30.0,0.0,0.0,0.0,82.143,70.143,75.143,70.714,88.286,68.286,78.429,68.571,57.0,64.286,51.286,20.143,23.857,20.714,20.0,21.571,27.714,26.143,28.143,29.0,29.286,34.429,2.6,2.36,2.38,2.27,2.21,1.32,1.3,1.02,1.04,1.08,1.18,0,11.857,12.143,8.143,8.0,16.429,18.286,15.714,15.429,16.2,17.714,16.714
0,0,7,4,23,54,73,84,58,76,79,17.571,16.0,18.143,14.571,13.571,19.0,23.0,21.0,21.857,23.25,23.857,0.465,0.389,0.314,0.239,0.163,0.088,0.012,0.012,0.006,0.008,0.009,46.714,64.429,48.286,47.0,37.571,78.857,45.143,54.714,38.714,30.8,39.0,89.857,95.429,91.143,95.714,93.857,97.571,91.571,94.0,94.286,82.4,89.286,7.0,26.3,0.0,0.0,0.0,46.0,17.1,51.7,30.0,0.0,0.0,69.714,82.143,70.143,75.143,70.714,88.286,68.286,78.429,68.571,57.0,64.286,24.0,20.143,23.857,20.714,20.0,21.571,27.714,26.143,28.143,29.0,29.286,2.64,2.6,2.36,2.38,2.27,2.21,1.32,1.3,1.02,1.04,1.08,0,11.0,11.857,12.143,8.143,8.0,16.429,18.286,15.714,15.429,16.2,17.714
0,0,0,7,4,23,54,73,84,58,76,18.571,17.571,16.0,18.143,14.571,13.571,19.0,23.0,21.0,21.857,23.25,0.54,0.465,0.389,0.314,0.239,0.163,0.088,0.012,0.012,0.006,0.008,64.714,46.714,64.429,48.286,47.0,37.571,78.857,45.143,54.714,38.714,30.8,91.714,89.857,95.429,91.143,95.714,93.857,97.571,91.571,94.0,94.286,82.4,24.0,7.0,26.3,0.0,0.0,0.0,46.0,17.1,51.7,30.0,0.0,78.429,69.714,82.143,70.143,75.143,70.714,88.286,68.286,78.429,68.571,57.0,22.143,24.0,20.143,23.857,20.714,20.0,21.571,27.714,26.143,28.143,29.0,2.92,2.64,2.6,2.36,2.38,2.27,2.21,1.32,1.3,1.02,1.04,0,14.429,11.0,11.857,12.143,8.143,8.0,16.429,18.286,15.714,15.429,16.2
0,0,0,0,7,4,23,54,73,84,58,14.0,18.571,17.571,16.0,18.143,14.571,13.571,19.0,23.0,21.0,21.857,0.616,0.54,0.465,0.389,0.314,0.239,0.163,0.088,0.012,0.012,0.006,46.714,64.714,46.714,64.429,48.286,47.0,37.571,78.857,45.143,54.714,38.714,91.429,91.714,89.857,95.429,91.143,95.714,93.857,97.571,91.571,94.0,94.286,1.0,24.0,7.0,26.3,0.0,0.0,0.0,46.0,17.1,51.7,30.0,69.286,78.429,69.714,82.143,70.143,75.143,70.714,88.286,68.286,78.429,68.571,18.571,22.143,24.0,20.143,23.857,20.714,20.0,21.571,27.714,26.143,28.143,3.2,2.92,2.64,2.6,2.36,2.38,2.27,2.21,1.32,1.3,1.02,0,9.714,14.429,11.0,11.857,12.143,8.143,8.0,16.429,18.286,15.714,15.429
0,0,0,0,0,7,4,23,54,73,84,13.857,14.0,18.571,17.571,16.0,18.143,14.571,13.571,19.0,23.0,21.0,0.691,0.616,0.54,0.465,0.389,0.314,0.239,0.163,0.088,0.012,0.012,39.286,46.714,64.714,46.714,64.429,48.286,47.0,37.571,78.857,45.143,54.714,84.714,91.429,91.714,89.857,95.429,91.143,95.714,93.857,97.571,91.571,94.0,20.0,1.0,24.0,7.0,26.3,0.0,0.0,0.0,46.0,17.1,51.7,61.571,69.286,78.429,69.714,82.143,70.143,75.143,70.714,88.286,68.286,78.429,18.286,18.571,22.143,24.0,20.143,23.857,20.714,20.0,21.571,27.714,26.143,3.22,3.2,2.92,2.64,2.6,2.36,2.38,2.27,2.21,1.32,1.3,0,9.429,9.714,14.429,11.0,11.857,12.143,8.143,8.0,16.429,18.286,15.714
0,0,0,0,0,0,7,4,23,54,73,13.143,13.857,14.0,18.571,17.571,16.0,18.143,14.571,13.571,19.0,23.0,0.766,0.691,0.616,0.54,0.465,0.389,0.314,0.239,0.163,0.088,0.012,37.143,39.286,46.714,64.714,46.714,64.429,48.286,47.0,37.571,78.857,45.143,89.286,84.714,91.429,91.714,89.857,95.429,91.143,95.714,93.857,97.571,91.571,11.0,20.0,1.0,24.0,7.0,26.3,0.0,0.0,0.0,46.0,17.1,64.857,61.571,69.286,78.429,69.714,82.143,70.143,75.143,70.714,88.286,68.286,18.571,18.286,18.571,22.143,24.0,20.143,23.857,20.714,20.0,21.571,27.714,3.18,3.22,3.2,2.92,2.64,2.6,2.36,2.38,2.27,2.21,1.32,0,7.571,9.429,9.714,14.429,11.0,11.857,12.143,8.143,8.0,16.429,18.286
0,0,0,0,0,0,0,7,4,23,54,18.286,13.143,13.857,14.0,18.571,17.571,16.0,18.143,14.571,13.571,19.0,0.842,0.766,0.691,0.616,0.54,0.465,0.389,0.314,0.239,0.163,0.088,52.286,37.143,39.286,46.714,64.714,46.714,64.429,48.286,47.0,37.571,78.857,85.714,89.286,84.714,91.429,91.714,89.857,95.429,91.143,95.714,93.857,97.571,8.0,11.0,20.0,1.0,24.0,7.0,26.3,0.0,0.0,0.0,46.0,69.286,64.857,61.571,69.286,78.429,69.714,82.143,70.143,75.143,70.714,88.286,24.0,18.571,18.286,18.571,22.143,24.0,20.143,23.857,20.714,20.0,21.571,2.91,3.18,3.22,3.2,2.92,2.64,2.6,2.36,2.38,2.27,2.21,0,12.429,7.571,9.429,9.714,14.429,11.0,11.857,12.143,8.143,8.0,16.429
0,0,0,0,0,0,0,0,7,4,23,19.143,18.286,13.143,13.857,14.0,18.571,17.571,16.0,18.143,14.571,13.571,0.917,0.842,0.766,0.691,0.616,0.54,0.465,0.389,0.314,0.239,0.163,36.143,52.286,37.143,39.286,46.714,64.714,46.714,64.429,48.286,47.0,37.571,76.0,85.714,89.286,84.714,91.429,91.714,89.857,95.429,91.143,95.714,93.857,1.0,8.0,11.0,20.0,1.0,24.0,7.0,26.3,0.0,0.0,0.0,56.571,69.286,64.857,61.571,69.286,78.429,69.714,82.143,70.143,75.143,70.714,24.571,24.0,18.571,18.286,18.571,22.143,24.0,20.143,23.857,20.714,20.0,2.78,2.91,3.18,3.22,3.2,2.92,2.64,2.6,2.36,2.38,2.27,0,13.0,12.429,7.571,9.429,9.714,14.429,11.0,11.857,12.143,8.143,8.0
0,0,0,0,0,0,0,0,0,7,4,17.571,19.143,18.286,13.143,13.857,14.0,18.571,17.571,16.0,18.143,14.571,0.993,0.917,0.842,0.766,0.691,0.616,0.54,0.465,0.389,0.314,0.239,52.0,36.143,52.286,37.143,39.286,46.714,64.714,46.714,64.429,48.286,47.0,87.714,76.0,85.714,89.286,84.714,91.429,91.714,89.857,95.429,91.143,95.714,11.0,1.0,8.0,11.0,20.0,1.0,24.0,7.0,26.3,0.0,0.0,69.571,56.571,69.286,64.857,61.571,69.286,78.429,69.714,82.143,70.143,75.143,21.571,24.571,24.0,18.571,18.286,18.571,22.143,24.0,20.143,23.857,20.714,2.6,2.78,2.91,3.18,3.22,3.2,2.92,2.64,2.6,2.36,2.38,0,13.571,13.0,12.429,7.571,9.429,9.714,14.429,11.0,11.857,12.143,8.143
0,0,0,0,0,0,0,0,0,0,7,22.0,17.571,19.143,18.286,13.143,13.857,14.0,18.571,17.571,16.0,18.143,1.068,0.993,0.917,0.842,0.766,0.691,0.616,0.54,0.465,0.389,0.314,38.714,52.0,36.143,52.286,37.143,39.286,46.714,64.714,46.714,64.429,48.286,83.0,87.714,76.0,85.714,89.286,84.714,91.429,91.714,89.857,95.429,91.143,0.0,11.0,1.0,8.0,11.0,20.0,1.0,24.0,7.0,26.3,0.0,61.0,69.571,56.571,69.286,64.857,61.571,69.286,78.429,69.714,82.143,70.143,27.714,21.571,24.571,24.0,18.571,18.286,18.571,22.143,24.0,20.143,23.857,2.38,2.6,2.78,2.91,3.18,3.22,3.2,2.92,2.64,2.6,2.36,0,16.143,13.571,13.0,12.429,7.571,9.429,9.714,14.429,11.0,11.857,12.143
