"cantidad(-1)","cantidad(-2)","cantidad(-3)","cantidad(-4)","cantidad(-5)","cantidad(-6)","cantidad(-7)","cantidad(-8)","cantidad(-9)","cantidad(-10)","cantidad(-11)","temperatura_media_media(-1)","temperatura_media_media(-2)","temperatura_media_media(-3)","temperatura_media_media(-4)","temperatura_media_media(-5)","temperatura_media_media(-6)","temperatura_media_media(-7)","temperatura_media_media(-8)","temperatura_media_media(-9)","temperatura_media_media(-10)","temperatura_media_media(-11)","indice(-1)","indice(-2)","indice(-3)","indice(-4)","indice(-5)","indice(-6)","indice(-7)","indice(-8)","indice(-9)","indice(-10)","indice(-11)","humedad_min_media_porc(-1)","humedad_min_media_porc(-2)","humedad_min_media_porc(-3)","humedad_min_media_porc(-4)","humedad_min_media_porc(-5)","humedad_min_media_porc(-6)","humedad_min_media_porc(-7)","humedad_min_media_porc(-8)","humedad_min_media_porc(-9)","humedad_min_media_porc(-10)","humedad_min_media_porc(-11)","humedad_max_media_porc(-1)","humedad_max_media_porc(-2)","humedad_max_media_porc(-3)","humedad_max_media_porc(-4)","humedad_max_media_porc(-5)","humedad_max_media_porc(-6)","humedad_max_media_porc(-7)","humedad_max_media_porc(-8)","humedad_max_media_porc(-9)","humedad_max_media_porc(-10)","humedad_max_media_porc(-11)","lluvia_mm(-1)","lluvia_mm(-2)","lluvia_mm(-3)","lluvia_mm(-4)","lluvia_mm(-5)","lluvia_mm(-6)","lluvia_mm(-7)","lluvia_mm(-8)","lluvia_mm(-9)","lluvia_mm(-10)","lluvia_mm(-11)","humedad_media_media_porc(-1)","humedad_media_media_porc(-2)","humedad_media_media_porc(-3)","humedad_media_media_porc(-4)","humedad_media_media_porc(-5)","humedad_media_media_porc(-6)","humedad_media_media_porc(-7)","humedad_media_media_porc(-8)","humedad_media_media_porc(-9)","humedad_media_media_porc(-10)","humedad_media_media_porc(-11)","temperatura_max_media(-1)","temperatura_max_media(-2)","temperatura_max_media(-3)","temperatura_max_media(-4)","temperatura_max_media(-5)","temperatura_max_media(-6)","temperatura_max_media(-7)","temperatura_max_media(-8)","temperatura_max_media(-9)","temperatura_max_media(-10)","temperatura_max_media(-11)","nivel(-1)","nivel(-2)","nivel(-3)","nivel(-4)","nivel(-5)","nivel(-6)","nivel(-7)","nivel(-8)","nivel(-9)","nivel(-10)","nivel(-11)","cantidad","temperatura_min_media(-1)","temperatura_min_media(-2)","temperatura_min_media(-3)","temperatura_min_media(-4)","temperatura_min_media(-5)","temperatura_min_media(-6)","temperatura_min_media(-7)","temperatura_min_media(-8)","temperatura_min_media(-9)","temperatura_min_media(-10)","temperatura_min_media(-11)"
0,0,2,0,0,0,0,0,0,0,0,22.0,22.714,20.571,24.0,19.857,20.857,24.571,20.429,21.429,20.143,25.143,11.21,10.425,9.639,8.854,8.069,7.283,6.498,5.713,4.927,4.142,3.356,21.857,26.857,41.143,40.143,37.714,43.143,40.857,30.429,26.714,40.0,27.714,85.286,87.286,88.857,73.429,85.857,81.857,74.714,83.0,69.571,84.429,67.857,0.9,5.0,54.0,2.0,82.0,0.2,14.0,6.0,0.1,2.2,0.0,50.0,55.429,64.857,54.429,61.571,60.571,57.571,56.286,46.143,60.0,47.714,30.0,28.857,26.286,29.0,26.143,24.571,29.286,26.429,28.571,24.286,31.0,2.3,2.26,1.67,2.16,2.13,1.7,1.94,2.13,2.36,2.5,2.68,0,14.143,16.571,15.714,19.143,14.0,17.143,19.429,14.143,14.714,15.429,18.714
0,0,0,2,0,0,0,0,0,0,0,22.857,22.0,22.714,20.571,24.0,19.857,20.857,24.571,20.429,21.429,20.143,11.996,11.21,10.425,9.639,8.854,8.069,7.283,6.498,5.713,4.927,4.142,26.286,21.857,26.857,41.143,40.143,37.714,43.143,40.857,30.429,26.714,40.0,66.857,85.286,87.286,88.857,73.429,85.857,81.857,74.714,83.0,69.571,84.429,0.0,0.9,5.0,54.0,2.0,82.0,0.2,14.0,6.0,0.1,2.2,44.0,50.0,55.429,64.857,54.429,61.571,60.571,57.571,56.286,46.143,60.0,29.857,30.0,28.857,26.286,29.0,26.143,24.571,29.286,26.429,28.571,24.286,1.76,2.3,2.26,1.67,2.16,2.13,1.7,1.94,2.13,2.36,2.5,0,15.714,14.143,16.571,15.714,19.143,14.0,17.143,19.429,14.143,14.714,15.429
0,0,0,0,2,0,0,0,0,0,0,24.0,22.857,22.0,22.714,20.571,24.0,19.857,20.857,24.571,20.429,21.429,12.781,11.996,11.21,10.425,9.639,8.854,8.069,7.283,6.498,5.713,4.927,29.0,26.286,21.857,26.857,41.143,40.143,37.714,43.143,40.857,30.429,26.714,85.714,66.857,85.286,87.286,88.857,73.429,85.857,81.857,74.714,83.0,69.571,23.0,0.0,0.9,5.0,54.0,2.0,82.0,0.2,14.0,6.0,0.1,52.857,44.0,50.0,55.429,64.857,54.429,61.571,60.571,57.571,56.286,46.143,31.286,29.857,30.0,28.857,26.286,29.0,26.143,24.571,29.286,26.429,28.571,1.34,1.76,2.3,2.26,1.67,2.16,2.13,1.7,1.94,2.13,2.36,0,17.0,15.714,14.143,16.571,15.714,19.143,14.0,17.143,19.429,14.143,14.714
0,0,0,0,0,2,0,0,0,0,0,23.714,24.0,22.857,22.0,22.714,20.571,24.0,19.857,20.857,24.571,20.429,13.566,12.781,11.996,11.21,10.425,9.639,8.854,8.069,7.283,6.498,5.713,39.143,29.0,26.286,21.857,26.857,41.143,40.143,37.714,43.143,40.857,30.429,93.857,85.714,66.857,85.286,87.286,88.857,73.429,85.857,81.857,74.714,83.0,18.4,23.0,0.0,0.9,5.0,54.0,2.0,82.0,0.2,14.0,6.0,67.857,52.857,44.0,50.0,55.429,64.857,54.429,61.571,60.571,57.571,56.286,29.571,31.286,29.857,30.0,28.857,26.286,29.0,26.143,24.571,29.286,26.429,1.19,1.34,1.76,2.3,2.26,1.67,2.16,2.13,1.7,1.94,2.13,0,18.286,17.0,15.714,14.143,16.571,15.714,19.143,14.0,17.143,19.429,14.143
0,0,0,0,0,0,2,0,0,0,0,25.714,23.714,24.0,22.857,22.0,22.714,20.571,24.0,19.857,20.857,24.571,10.971,13.566,12.781,11.996,11.21,10.425,9.639,8.854,8.069,7.283,6.498,52.429,39.143,29.0,26.286,21.857,26.857,41.143,40.143,37.714,43.143,40.857,86.857,93.857,85.714,66.857,85.286,87.286,88.857,73.429,85.857,81.857,74.714,23.0,18.4,23.0,0.0,0.9,5.0,54.0,2.0,82.0,0.2,14.0,69.286,67.857,52.857,44.0,50.0,55.429,64.857,54.429,61.571,60.571,57.571,30.571,29.571,31.286,29.857,30.0,28.857,26.286,29.0,26.143,24.571,29.286,1.3,1.19,1.34,1.76,2.3,2.26,1.67,2.16,2.13,1.7,1.94,0,21.143,18.286,17.0,15.714,14.143,16.571,15.714,19.143,14.0,17.143,19.429
0,0,0,0,0,0,0,2,0,0,0,27.429,25.714,23.714,24.0,22.857,22.0,22.714,20.571,24.0,19.857,20.857,17.083,10.971,13.566,12.781,11.996,11.21,10.425,9.639,8.854,8.069,7.283,45.857,52.429,39.143,29.0,26.286,21.857,26.857,41.143,40.143,37.714,43.143,93.143,86.857,93.857,85.714,66.857,85.286,87.286,88.857,73.429,85.857,81.857,48.0,23.0,18.4,23.0,0.0,0.9,5.0,54.0,2.0,82.0,0.2,70.286,69.286,67.857,52.857,44.0,50.0,55.429,64.857,54.429,61.571,60.571,33.0,30.571,29.571,31.286,29.857,30.0,28.857,26.286,29.0,26.143,24.571,1.22,1.3,1.19,1.34,1.76,2.3,2.26,1.67,2.16,2.13,1.7,0,22.286,21.143,18.286,17.0,15.714,14.143,16.571,15.714,19.143,14.0,17.143
0,0,0,0,0,0,0,0,2,0,0,24.0,27.429,25.714,23.714,24.0,22.857,22.0,22.714,20.571,24.0,19.857,25.481,17.083,10.971,13.566,12.781,11.996,11.21,10.425,9.639,8.854,8.069,32.0,45.857,52.429,39.143,29.0,26.286,21.857,26.857,41.143,40.143,37.714,84.714,93.143,86.857,93.857,85.714,66.857,85.286,87.286,88.857,73.429,85.857,3.5,48.0,23.0,18.4,23.0,0.0,0.9,5.0,54.0,2.0,82.0,56.571,70.286,69.286,67.857,52.857,44.0,50.0,55.429,64.857,54.429,61.571,30.857,33.0,30.571,29.571,31.286,29.857,30.0,28.857,26.286,29.0,26.143,1.11,1.22,1.3,1.19,1.34,1.76,2.3,2.26,1.67,2.16,2.13,0,16.857,22.286,21.143,18.286,17.0,15.714,14.143,16.571,15.714,19.143,14.0
0,0,0,0,0,0,0,0,0,2,0,29.286,24.0,27.429,25.714,23.714,24.0,22.857,22.0,22.714,20.571,24.0,25.415,25.481,17.083,10.971,13.566,12.781,11.996,11.21,10.425,9.639,8.854,42.857,32.0,45.857,52.429,39.143,29.0,26.286,21.857,26.857,41.143,40.143,89.286,84.714,93.143,86.857,93.857,85.714,66.857,85.286,87.286,88.857,73.429,44.0,3.5,48.0,23.0,18.4,23.0,0.0,0.9,5.0,54.0,2.0,67.857,56.571,70.286,69.286,67.857,52.857,44.0,50.0,55.429,64.857,54.429,34.143,30.857,33.0,30.571,29.571,31.286,29.857,30.0,28.857,26.286,29.0,1.15,1.11,1.22,1.3,1.19,1.34,1.76,2.3,2.26,1.67,2.16,0,23.714,16.857,22.286,21.143,18.286,17.0,15.714,14.143,16.571,15.714,19.143
0,0,0,0,0,0,0,0,0,0,2,27.714,29.286,24.0,27.429,25.714,23.714,24.0,22.857,22.0,22.714,20.571,25.349,25.415,25.481,17.083,10.971,13.566,12.781,11.996,11.21,10.425,9.639,41.857,42.857,32.0,45.857,52.429,39.143,29.0,26.286,21.857,26.857,41.143,93.714,89.286,84.714,93.143,86.857,93.857,85.714,66.857,85.286,87.286,88.857,84.0,44.0,3.5,48.0,23.0,18.4,23.0,0.0,0.9,5.0,54.0,68.857,67.857,56.571,70.286,69.286,67.857,52.857,44.0,50.0,55.429,64.857,33.571,34.143,30.857,33.0,30.571,29.571,31.286,29.857,30.0,28.857,26.286,1.28,1.15,1.11,1.22,1.3,1.19,1.34,1.76,2.3,2.26,1.67,3,22.143,23.714,16.857,22.286,21.143,18.286,17.0,15.714,14.143,16.571,15.714
3,0,0,0,0,0,0,0,0,0,0,27.143,27.714,29.286,24.0,27.429,25.714,23.714,24.0,22.857,22.0,22.714,25.283,25.349,25.415,25.481,17.083,10.971,13.566,12.781,11.996,11.21,10.425,43.857,41.857,42.857,32.0,45.857,52.429,39.143,29.0,26.286,21.857,26.857,94.714,93.714,89.286,84.714,93.143,86.857,93.857,85.714,66.857,85.286,87.286,40.3,84.0,44.0,3.5,48.0,23.0,18.4,23.0,0.0,0.9,5.0,73.0,68.857,67.857,56.571,70.286,69.286,67.857,52.857,44.0,50.0,55.429,33.429,33.571,34.143,30.857,33.0,30.571,29.571,31.286,29.857,30.0,28.857,1.42,1.28,1.15,1.11,1.22,1.3,1.19,1.34,1.76,2.3,2.26,0,21.571,22.143,23.714,16.857,22.286,21.143,18.286,17.0,15.714,14.143,16.571
0,3,0,0,0,0,0,0,0,0,0,28.571,27.143,27.714,29.286,24.0,27.429,25.714,23.714,24.0,22.857,22.0,25.218,25.283,25.349,25.415,25.481,17.083,10.971,13.566,12.781,11.996,11.21,41.0,43.857,41.857,42.857,32.0,45.857,52.429,39.143,29.0,26.286,21.857,91.571,94.714,93.714,89.286,84.714,93.143,86.857,93.857,85.714,66.857,85.286,0.9,40.3,84.0,44.0,3.5,48.0,23.0,18.4,23.0,0.0,0.9,66.429,73.0,68.857,67.857,56.571,70.286,69.286,67.857,52.857,44.0,50.0,33.857,33.429,33.571,34.143,30.857,33.0,30.571,29.571,31.286,29.857,30.0,1.3,1.42,1.28,1.15,1.11,1.22,1.3,1.19,1.34,1.76,2.3,15,23.429,21.571,22.143,23.714,16.857,22.286,21.143,18.286,17.0,15.714,14.143
15,0,3,0,0,0,0,0,0,0,0,27.571,28.571,27.143,27.714,29.286,24.0,27.429,25.714,23.714,24.0,22.857,25.152,25.218,25.283,25.349,25.415,25.481,17.083,10.971,13.566,12.781,11.996,46.714,41.0,43.857,41.857,42.857,32.0,45.857,52.429,39.143,29.0,26.286,91.714,91.571,94.714,93.714,89.286,84.714,93.143,86.857,93.857,85.714,66.857,35.1,0.9,40.3,84.0,44.0,3.5,48.0,23.0,18.4,23.0,0.0,71.143,66.429,73.0,68.857,67.857,56.571,70.286,69.286,67.857,52.857,44.0,33.143,33.857,33.429,33.571,34.143,30.857,33.0,30.571,29.571,31.286,29.857,1.2,1.3,1.42,1.28,1.15,1.11,1.22,1.3,1.19,1.34,1.76,21,21.857,23.429,21.571,22.143,23.714,16.857,22.286,21.143,18.286,17.0,15.714
21,15,0,3,0,0,0,0,0,0,0,29.143,27.571,28.571,27.143,27.714,29.286,24.0,27.429,25.714,23.714,24.0,25.086,25.152,25.218,25.283,25.349,25.415,25.481,17.083,10.971,13.566,12.781,47.571,46.714,41.0,43.857,41.857,42.857,32.0,45.857,52.429,39.143,29.0,87.429,91.714,91.571,94.714,93.714,89.286,84.714,93.143,86.857,93.857,85.714,7.3,35.1,0.9,40.3,84.0,44.0,3.5,48.0,23.0,18.4,23.0,68.571,71.143,66.429,73.0,68.857,67.857,56.571,70.286,69.286,67.857,52.857,34.143,33.143,33.857,33.429,33.571,34.143,30.857,33.0,30.571,29.571,31.286,1.46,1.2,1.3,1.42,1.28,1.15,1.11,1.22,1.3,1.19,1.34,41,24.0,21.857,23.429,21.571,22.143,23.714,16.857,22.286,21.143,18.286,17.0
41,21,15,0,3,0,0,0,0,0,0,28.0,29.143,27.571,28.571,27.143,27.714,29.286,24.0,27.429,25.714,23.714,25.02,25.086,25.152,25.218,25.283,25.349,25.415,25.481,17.083,10.971,13.566,48.143,47.571,46.714,41.0,43.857,41.857,42.857,32.0,45.857,52.429,39.143,93.571,87.429,91.714,91.571,94.714,93.714,89.286,84.714,93.143,86.857,93.857,45.6,7.3,35.1,0.9,40.3,84.0,44.0,3.5,48.0,23.0,18.4,71.571,68.571,71.143,66.429,73.0,68.857,67.857,56.571,70.286,69.286,67.857,33.286,34.143,33.143,33.857,33.429,33.571,34.143,30.857,33.0,30.571,29.571,1.5,1.46,1.2,1.3,1.42,1.28,1.15,1.11,1.22,1.3,1.19,65,22.714,24.0,21.857,23.429,21.571,22.143,23.714,16.857,22.286,21.143,18.286
65,41,21,15,0,3,0,0,0,0,0,26.0,28.0,29.143,27.571,28.571,27.143,27.714,29.286,24.0,27.429,25.714,24.955,25.02,25.086,25.152,25.218,25.283,25.349,25.415,25.481,17.083,10.971,59.286,48.143,47.571,46.714,41.0,43.857,41.857,42.857,32.0,45.857,52.429,93.429,93.571,87.429,91.714,91.571,94.714,93.714,89.286,84.714,93.143,86.857,19.0,45.6,7.3,35.1,0.9,40.3,84.0,44.0,3.5,48.0,23.0,78.429,71.571,68.571,71.143,66.429,73.0,68.857,67.857,56.571,70.286,69.286,29.571,33.286,34.143,33.143,33.857,33.429,33.571,34.143,30.857,33.0,30.571,1.5,1.5,1.46,1.2,1.3,1.42,1.28,1.15,1.11,1.22,1.3,110,22.571,22.714,24.0,21.857,23.429,21.571,22.143,23.714,16.857,22.286,21.143
110,65,41,21,15,0,3,0,0,0,0,27.714,26.0,28.0,29.143,27.571,28.571,27.143,27.714,29.286,24.0,27.429,24.889,24.955,25.02,25.086,25.152,25.218,25.283,25.349,25.415,25.481,17.083,47.143,59.286,48.143,47.571,46.714,41.0,43.857,41.857,42.857,32.0,45.857,89.429,93.429,93.571,87.429,91.714,91.571,94.714,93.714,89.286,84.714,93.143,7.0,19.0,45.6,7.3,35.1,0.9,40.3,84.0,44.0,3.5,48.0,68.714,78.429,71.571,68.571,71.143,66.429,73.0,68.857,67.857,56.571,70.286,33.286,29.571,33.286,34.143,33.143,33.857,33.429,33.571,34.143,30.857,33.0,2.02,1.5,1.5,1.46,1.2,1.3,1.42,1.28,1.15,1.11,1.22,194,22.857,22.571,22.714,24.0,21.857,23.429,21.571,22.143,23.714,16.857,22.286
194,110,65,41,21,15,0,3,0,0,0,25.143,27.714,26.0,28.0,29.143,27.571,28.571,27.143,27.714,29.286,24.0,24.823,24.889,24.955,25.02,25.086,25.152,25.218,25.283,25.349,25.415,25.481,72.143,47.143,59.286,48.143,47.571,46.714,41.0,43.857,41.857,42.857,32.0,97.286,89.429,93.429,93.571,87.429,91.714,91.571,94.714,93.714,89.286,84.714,64.0,7.0,19.0,45.6,7.3,35.1,0.9,40.3,84.0,44.0,3.5,86.286,68.714,78.429,71.571,68.571,71.143,66.429,73.0,68.857,67.857,56.571,28.714,33.286,29.571,33.286,34.143,33.143,33.857,33.429,33.571,34.143,30.857,3.26,2.02,1.5,1.5,1.46,1.2,1.3,1.42,1.28,1.15,1.11,363,22.429,22.857,22.571,22.714,24.0,21.857,23.429,21.571,22.143,23.714,16.857
363,194,110,65,41,21,15,0,3,0,0,25.714,25.143,27.714,26.0,28.0,29.143,27.571,28.571,27.143,27.714,29.286,20.071,24.823,24.889,24.955,25.02,25.086,25.152,25.218,25.283,25.349,25.415,52.571,72.143,47.143,59.286,48.143,47.571,46.714,41.0,43.857,41.857,42.857,90.429,97.286,89.429,93.429,93.571,87.429,91.714,91.571,94.714,93.714,89.286,18.9,64.0,7.0,19.0,45.6,7.3,35.1,0.9,40.3,84.0,44.0,72.0,86.286,68.714,78.429,71.571,68.571,71.143,66.429,73.0,68.857,67.857,30.286,28.714,33.286,29.571,33.286,34.143,33.143,33.857,33.429,33.571,34.143,3.97,3.26,2.02,1.5,1.5,1.46,1.2,1.3,1.42,1.28,1.15,496,21.714,22.429,22.857,22.571,22.714,24.0,21.857,23.429,21.571,22.143,23.714
496,363,194,110,65,41,21,15,0,3,0,27.143,25.714,25.143,27.714,26.0,28.0,29.143,27.571,28.571,27.143,27.714,10.732,20.071,24.823,24.889,24.955,25.02,25.086,25.152,25.218,25.283,25.349,45.857,52.571,72.143,47.143,59.286,48.143,47.571,46.714,41.0,43.857,41.857,85.143,90.429,97.286,89.429,93.429,93.571,87.429,91.714,91.571,94.714,93.714,0.0,18.9,64.0,7.0,19.0,45.6,7.3,35.1,0.9,40.3,84.0,65.143,72.0,86.286,68.714,78.429,71.571,68.571,71.143,66.429,73.0,68.857,32.857,30.286,28.714,33.286,29.571,33.286,34.143,33.143,33.857,33.429,33.571,4.26,3.97,3.26,2.02,1.5,1.5,1.46,1.2,1.3,1.42,1.28,622,21.857,21.714,22.429,22.857,22.571,22.714,24.0,21.857,23.429,21.571,22.143
622,496,363,194,110,65,41,21,15,0,3,24.429,27.143,25.714,25.143,27.714,26.0,28.0,29.143,27.571,28.571,27.143,7.38,10.732,20.071,24.823,24.889,24.955,25.02,25.086,25.152,25.218,25.283,42.714,45.857,52.571,72.143,47.143,59.286,48.143,47.571,46.714,41.0,43.857,89.857,85.143,90.429,97.286,89.429,93.429,93.571,87.429,91.714,91.571,94.714,19.0,0.0,18.9,64.0,7.0,19.0,45.6,7.3,35.1,0.9,40.3,66.0,65.143,72.0,86.286,68.714,78.429,71.571,68.571,71.143,66.429,73.0,30.857,32.857,30.286,28.714,33.286,29.571,33.286,34.143,33.143,33.857,33.429,4.34,4.26,3.97,3.26,2.02,1.5,1.5,1.46,1.2,1.3,1.42,799,18.429,21.857,21.714,22.429,22.857,22.571,22.714,24.0,21.857,23.429,21.571
799,622,496,363,194,110,65,41,21,15,0,26.714,24.429,27.143,25.714,25.143,27.714,26.0,28.0,29.143,27.571,28.571,7.176,7.38,10.732,20.071,24.823,24.889,24.955,25.02,25.086,25.152,25.218,48.571,42.714,45.857,52.571,72.143,47.143,59.286,48.143,47.571,46.714,41.0,91.0,89.857,85.143,90.429,97.286,89.429,93.429,93.571,87.429,91.714,91.571,14.0,19.0,0.0,18.9,64.0,7.0,19.0,45.6,7.3,35.1,0.9,71.571,66.0,65.143,72.0,86.286,68.714,78.429,71.571,68.571,71.143,66.429,32.429,30.857,32.857,30.286,28.714,33.286,29.571,33.286,34.143,33.143,33.857,4.32,4.34,4.26,3.97,3.26,2.02,1.5,1.5,1.46,1.2,1.3,975,21.286,18.429,21.857,21.714,22.429,22.857,22.571,22.714,24.0,21.857,23.429
975,799,622,496,363,194,110,65,41,21,15,25.286,26.714,24.429,27.143,25.714,25.143,27.714,26.0,28.0,29.143,27.571,6.971,7.176,7.38,10.732,20.071,24.823,24.889,24.955,25.02,25.086,25.152,65.714,48.571,42.714,45.857,52.571,72.143,47.143,59.286,48.143,47.571,46.714,97.0,91.0,89.857,85.143,90.429,97.286,89.429,93.429,93.571,87.429,91.714,26.2,14.0,19.0,0.0,18.9,64.0,7.0,19.0,45.6,7.3,35.1,83.714,71.571,66.0,65.143,72.0,86.286,68.714,78.429,71.571,68.571,71.143,28.714,32.429,30.857,32.857,30.286,28.714,33.286,29.571,33.286,34.143,33.143,4.16,4.32,4.34,4.26,3.97,3.26,2.02,1.5,1.5,1.46,1.2,783,22.143,21.286,18.429,21.857,21.714,22.429,22.857,22.571,22.714,24.0,21.857
783,975,799,622,496,363,194,110,65,41,21,23.571,25.286,26.714,24.429,27.143,25.714,25.143,27.714,26.0,28.0,29.143,6.767,6.971,7.176,7.38,10.732,20.071,24.823,24.889,24.955,25.02,25.086,29.714,65.714,48.571,42.714,45.857,52.571,72.143,47.143,59.286,48.143,47.571,89.143,97.0,91.0,89.857,85.143,90.429,97.286,89.429,93.429,93.571,87.429,0.0,26.2,14.0,19.0,0.0,18.9,64.0,7.0,19.0,45.6,7.3,61.0,83.714,71.571,66.0,65.143,72.0,86.286,68.714,78.429,71.571,68.571,30.429,28.714,32.429,30.857,32.857,30.286,28.714,33.286,29.571,33.286,34.143,4.1,4.16,4.32,4.34,4.26,3.97,3.26,2.02,1.5,1.5,1.46,493,17.0,22.143,21.286,18.429,21.857,21.714,22.429,22.857,22.571,22.714,24.0
493,783,975,799,622,496,363,194,110,65,41,23.286,23.571,25.286,26.714,24.429,27.143,25.714,25.143,27.714,26.0,28.0,6.562,6.767,6.971,7.176,7.38,10.732,20.071,24.823,24.889,24.955,25.02,49.0,29.714,65.714,48.571,42.714,45.857,52.571,72.143,47.143,59.286,48.143,93.0,89.143,97.0,91.0,89.857,85.143,90.429,97.286,89.429,93.429,93.571,50.0,0.0,26.2,14.0,19.0,0.0,18.9,64.0,7.0,19.0,45.6,72.286,61.0,83.714,71.571,66.0,65.143,72.0,86.286,68.714,78.429,71.571,29.0,30.429,28.714,32.429,30.857,32.857,30.286,28.714,33.286,29.571,33.286,3.96,4.1,4.16,4.32,4.34,4.26,3.97,3.26,2.02,1.5,1.5,364,17.286,17.0,22.143,21.286,18.429,21.857,21.714,22.429,22.857,22.571,22.714
364,493,783,975,799,622,496,363,194,110,65,25.0,23.286,23.571,25.286,26.714,24.429,27.143,25.714,25.143,27.714,26.0,6.358,6.562,6.767,6.971,7.176,7.38,10.732,20.071,24.823,24.889,24.955,58.857,49.0,29.714,65.714,48.571,42.714,45.857,52.571,72.143,47.143,59.286,92.0,93.0,89.143,97.0,91.0,89.857,85.143,90.429,97.286,89.429,93.429,18.0,50.0,0.0,26.2,14.0,19.0,0.0,18.9,64.0,7.0,19.0,78.143,72.286,61.0,83.714,71.571,66.0,65.143,72.0,86.286,68.714,78.429,30.143,29.0,30.429,28.714,32.429,30.857,32.857,30.286,28.714,33.286,29.571,4.05,3.96,4.1,4.16,4.32,4.34,4.26,3.97,3.26,2.02,1.5,368,20.0,17.286,17.0,22.143,21.286,18.429,21.857,21.714,22.429,22.857,22.571
368,364,493,783,975,799,622,496,363,194,110,21.571,25.0,23.286,23.571,25.286,26.714,24.429,27.143,25.714,25.143,27.714,6.154,6.358,6.562,6.767,6.971,7.176,7.38,10.732,20.071,24.823,24.889,55.0,58.857,49.0,29.714,65.714,48.571,42.714,45.857,52.571,72.143,47.143,90.143,92.0,93.0,89.143,97.0,91.0,89.857,85.143,90.429,97.286,89.429,45.0,18.0,50.0,0.0,26.2,14.0,19.0,0.0,18.9,64.0,7.0,72.429,78.143,72.286,61.0,83.714,71.571,66.0,65.143,72.0,86.286,68.714,26.143,30.143,29.0,30.429,28.714,32.429,30.857,32.857,30.286,28.714,33.286,4.18,4.05,3.96,4.1,4.16,4.32,4.34,4.26,3.97,3.26,2.02,185,17.0,20.0,17.286,17.0,22.143,21.286,18.429,21.857,21.714,22.429,22.857
185,368,364,493,783,975,799,622,496,363,194,17.714,21.571,25.0,23.286,23.571,25.286,26.714,24.429,27.143,25.714,25.143,5.949,6.154,6.358,6.562,6.767,6.971,7.176,7.38,10.732,20.071,24.823,43.286,55.0,58.857,49.0,29.714,65.714,48.571,42.714,45.857,52.571,72.143,92.857,90.143,92.0,93.0,89.143,97.0,91.0,89.857,85.143,90.429,97.286,2.5,45.0,18.0,50.0,0.0,26.2,14.0,19.0,0.0,18.9,64.0,72.286,72.429,78.143,72.286,61.0,83.714,71.571,66.0,65.143,72.0,86.286,23.571,26.143,30.143,29.0,30.429,28.714,32.429,30.857,32.857,30.286,28.714,4.18,4.18,4.05,3.96,4.1,4.16,4.32,4.34,4.26,3.97,3.26,96,11.857,17.0,20.0,17.286,17.0,22.143,21.286,18.429,21.857,21.714,22.429
96,185,368,364,493,783,975,799,622,496,363,24.286,17.714,21.571,25.0,23.286,23.571,25.286,26.714,24.429,27.143,25.714,5.745,5.949,6.154,6.358,6.562,6.767,6.971,7.176,7.38,10.732,20.071,55.143,43.286,55.0,58.857,49.0,29.714,65.714,48.571,42.714,45.857,52.571,93.286,92.857,90.143,92.0,93.0,89.143,97.0,91.0,89.857,85.143,90.429,6.0,2.5,45.0,18.0,50.0,0.0,26.2,14.0,19.0,0.0,18.9,75.429,72.286,72.429,78.143,72.286,61.0,83.714,71.571,66.0,65.143,72.0,29.286,23.571,26.143,30.143,29.0,30.429,28.714,32.429,30.857,32.857,30.286,4.16,4.18,4.18,4.05,3.96,4.1,4.16,4.32,4.34,4.26,3.97,105,19.429,11.857,17.0,20.0,17.286,17.0,22.143,21.286,18.429,21.857,21.714
105,96,185,368,364,493,783,975,799,622,496,18.571,24.286,17.714,21.571,25.0,23.286,23.571,25.286,26.714,24.429,27.143,5.54,5.745,5.949,6.154,6.358,6.562,6.767,6.971,7.176,7.38,10.732,42.857,55.143,43.286,55.0,58.857,49.0,29.714,65.714,48.571,42.714,45.857,91.571,93.286,92.857,90.143,92.0,93.0,89.143,97.0,91.0,89.857,85.143,0.0,6.0,2.5,45.0,18.0,50.0,0.0,26.2,14.0,19.0,0.0,69.571,75.429,72.286,72.429,78.143,72.286,61.0,83.714,71.571,66.0,65.143,24.571,29.286,23.571,26.143,30.143,29.0,30.429,28.714,32.429,30.857,32.857,4.18,4.16,4.18,4.18,4.05,3.96,4.1,4.16,4.32,4.34,4.26,58,12.857,19.429,11.857,17.0,20.0,17.286,17.0,22.143,21.286,18.429,21.857
58,105,96,185,368,364,493,783,975,799,622,20.0,18.571,24.286,17.714,21.571,25.0,23.286,23.571,25.286,26.714,24.429,5.336,5.54,5.745,5.949,6.154,6.358,6.562,6.767,6.971,7.176,7.38,51.429,42.857,55.143,43.286,55.0,58.857,49.0,29.714,65.714,48.571,42.714,86.143,91.571,93.286,92.857,90.143,92.0,93.0,89.143,97.0,91.0,89.857,17.0,0.0,6.0,2.5,45.0,18.0,50.0,0.0,26.2,14.0,19.0,70.429,69.571,75.429,72.286,72.429,78.143,72.286,61.0,83.714,71.571,66.0,24.0,24.571,29.286,23.571,26.143,30.143,29.0,30.429,28.714,32.429,30.857,4.13,4.18,4.16,4.18,4.18,4.05,3.96,4.1,4.16,4.32,4.34,65,16.286,12.857,19.429,11.857,17.0,20.0,17.286,17.0,22.143,21.286,18.429
